SKU,Nome,Breve descrizione,Lingua,Gruppo di traduzione,Meta: misure_prodotto,Meta: _misure_prodotto,Meta: misure_modello,Meta: _misure_modello,Meta: featured_product,Meta: _featured_product,Meta: costum_shop_image,Meta: _costum_shop_image,Meta: composizione,Meta: _composizione,Meta: _max_variation_sale_price,Meta: _min_variation_sale_price,Meta: _max_variation_regular_price,Meta: _min_variation_regular_price,Meta: _max_variation_price,Meta: _min_variation_price,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _yoast_wpseo_wordproof_timestamp,Meta: _ebay_watch_count,Meta: _ebay_title,Meta: _ebay_subtitle,Meta: _ebay_ebayplus_enabled,Meta: _ebay_payment_instructions,Meta: _ebay_condition_id,Meta: _ebay_condition_description,Meta: _ebay_professional_grader,Meta: _ebay_grade,Meta: _ebay_certification_number,Meta: _ebay_listing_duration,Meta: _ebay_auction_type,Meta: _ebay_start_price,Meta: _ebay_reserve_price,Meta: _ebay_buynow_price,Meta: _ebay_upc,Meta: _ebay_ean,Meta: _ebay_isbn,Meta: _ebay_mpn,Meta: _ebay_brand,Meta: _ebay_epid,Meta: _ebay_hide_from_unlisted,Meta: _ebay_category_1_id,Meta: _ebay_category_2_id,Meta: _ebay_store_category_1_id,Meta: _ebay_store_category_2_id,Meta: _ebay_gallery_image_url,Meta: _ebay_seller_payment_profile_id,Meta: _ebay_seller_return_profile_id,Meta: _ebay_bestoffer_enabled,Meta: _ebay_bo_autoaccept_price,Meta: _ebay_bo_minimum_price,Meta: _ebay_autopay,Meta: _wc_facebook_sync_enabled,Meta: fb_visibility,Meta: fb_product_description,Meta: _wc_facebook_product_image_source,Meta: _wc_facebook_commerce_enabled,Meta: _yoast_wpseo_primary_fb_product_set,Meta: _wp_old_date,Meta: _yoast_wpseo_meta-robots-noindex,Meta: _yoast_wpseo_meta-robots-nofollow,Meta: _ebay_gpsr_enabled,Meta: _ebay_gpsr_repair_score,Meta: _ebay_gpsr_energy_efficiency_image,Meta: _ebay_gpsr_energy_efficiency_image_eps,Meta: _ebay_gpsr_energy_efficiency_label_description,Meta: _ebay_gpsr_energy_efficiency_sheet_image,Meta: _ebay_gpsr_energy_efficiency_sheet_image_eps,Meta: _ebay_gpsr_hazmat_component,Meta: _ebay_gpsr_manufacturer,Meta: _ebay_gpsr_product_safety_component,Meta: _ebay_gpsr_manufacturer_street1,Meta: _ebay_gpsr_manufacturer_street2,Meta: _ebay_gpsr_manufacturer_city,Meta: _ebay_gpsr_manufacturer_state,Meta: _ebay_gpsr_manufacturer_postcode,Meta: _ebay_gpsr_manufacturer_country,Meta: _ebay_gpsr_manufacturer_company,Meta: _ebay_gpsr_manufacturer_phone,Meta: fb_product_image,Meta: fb_product_price,Meta: _ebay_is_disabled
2315,The Legend of the Pianist on the Ocean Original Movie Poster,"Original cinema poster of the film ""La Leggenda Del Pianista Sull'Oceano.""",it,,61.5x42.5 cm,field_65778f7066bd9,,,,,,,Letter,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2316,Heidi Poster Original Cinema,Original cinema poster of Heidi.,it,,68x45.5 cm,field_65778f7066bd9,,,,,,,Letter,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2317,Sophie Marceau Original Photo Poster,"Original cinema photobust of the film ""Il tempo delle mele"" featuring the protagonist Sophie Marceau.",it,,66x45.5 cm,field_65778f7066bd9,,,,,,,Letter,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2318,The Bestial Loves of Luana Original Vintage Erotic Poster,"Original Vintage Erotic Poster. The poster is dated, so it may have small imperfections at the edges that do not compromise the image.",it,,140x100,field_65778f7066bd9,,,,,,,Letter,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2319,Frida Vintage Original Erotic Poster,"Original Vintage Erotic Poster. The poster is dated, so it may have small imperfections at the edges that do not compromise the image.",it,,140x100,field_65778f7066bd9,,,,,,,Letter,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320,Moana The Trans And The Big Tits Vintage Original Erotic Poster,"Original Vintage Erotic Poster. The poster is dated, so it may have small imperfections at the edges that do not compromise the image.",it,,140x100,field_65778f7066bd9,,,,,,,Letter,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321,In the Depths of Annie Vintage Original Erotic Poster,"Original Vintage Erotic Poster. The poster is dated, so it may have small imperfections at the edges that do not compromise the image.",it,,140x100,field_65778f7066bd9,,,,,,,Letter,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2322,Tocco Magico Moana Erotic Vintage Original Poster,"Original Vintage Erotic Poster. The poster is dated, so it may have small imperfections at the edges that do not compromise the image.",it,,140x100,field_65778f7066bd9,,,,,,,Letter,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2323,The Pon Pon Girls Vintage Original Erotic Poster,"Original Vintage Erotic Poster. The poster is dated, so it may have small imperfections at the edges that do not compromise the image.",it,,140x100,field_65778f7066bd9,,,,,,,Letter,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2324,Starved For...Unripe Fruit Vintage Original Erotic Poster,"Original Vintage Erotic Poster. The poster is dated, so it may have small imperfections at the edges that do not compromise the image.",it,,140x100,field_65778f7066bd9,,,,,,,Letter,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2325,Insatiable Cravings Vintage Original Erotic Poster,"Original Vintage Erotic Poster. The poster is dated, so it may have small imperfections at the edges that do not compromise the image.",it,,140x100,field_65778f7066bd9,,,,,,,Letter,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326,Timidessen x East Market Milan Notebook Sant'Ansia,"Timidessen Notebook x East Market Milano made in a limited edition. A5 format, spiral binding, blank pages.",it,,A5,field_65778f7066bd9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-18,,,,,,,,,,,,,,,,,,,,,,,
2327,Timidessen x East Market Milan Notebook Paranoia To the Stars,"Timidessen Notebook x East Market Milano made in limited edition. A5 format, spiral binding, 0.5 cm grid sheets.",it,,A5,field_65778f7066bd9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-18,,,,,,,,,,,,,,,,,,,,,,,
2328,Timidessen x East Market Milan Notebook How are you? I'm not well.,"Timidessen Notebook x East Market Milano made in a limited edition. A5 format, spiral binding, lined pages with a spacing of 0.5 cm.",it,,A5,field_65778f7066bd9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-18,,,,,,,,,,,,,,,,,,,,,,,
2338,Ex Voto Handmade By Love Mareea,"Ex voto handmade in Italy by Love Mareea that uses discarded materials such as old bags, velvet garments, lace, jewelry, and vintage frames for her creations. The ex voto is an ancient tradition and with Maria Grazia it has fused with new languages, forms of reflection, and contemporary artistic expression, allowing the creation of works inspired not only by the concept of devotion but exploring broader themes such as identity and rebirth: a symbol that becomes a means to express emotions and individual narratives.",it,,12x10 cm,field_65778f7066bd9,,,,,,,Recyclable materials,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2339,Ex Voto Handmade By Love Mareea,"Ex voto handmade in Italy by Love Mareea that uses discarded materials such as old bags, velvet garments, lace, jewelry, and vintage frames for her creations. The ex voto is an ancient tradition and with Maria Grazia it has fused with new languages, forms of reflection, and contemporary artistic expression, allowing the creation of works inspired not only by the concept of devotion but exploring broader themes such as identity and rebirth: a symbol that becomes a means to express emotions and individual narratives.",it,,12x10 cm,field_65778f7066bd9,,,,,,,Recyclable materials,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2340,Ex Voto Handmade By Love Mareea,"Ex voto handmade in Italy by Love Mareea that uses discarded materials such as old bags, velvet garments, lace, jewelry, and vintage frames for her creations. The ex voto is an ancient tradition and with Maria Grazia it has fused with new languages, forms of reflection, and contemporary artistic expression, allowing the creation of works inspired not only by the concept of devotion but exploring broader themes such as identity and rebirth: a symbol that becomes a means to express emotions and individual narratives.",it,,13x9 cm,field_65778f7066bd9,,,,,,,Recyclable materials,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2341,Ex Voto Handmade By Love Mareea,"Ex voto handmade in Italy by Love Mareea that uses discarded materials such as old bags, velvet garments, lace, jewelry, and vintage frames for her creations. The ex voto is an ancient tradition and with Maria Grazia it has fused with new languages, forms of reflection, and contemporary artistic expression, allowing the creation of works inspired not only by the concept of devotion but exploring broader themes such as identity and rebirth: a symbol that becomes a means to express emotions and individual narratives.",it,,13x12 cm,field_65778f7066bd9,,,,,,,Recyclable materials,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2342,Ex Voto Handmade By Love Mareea,"Ex voto handmade in Italy by Love Mareea that uses discarded materials such as old bags, velvet garments, lace, jewelry, and vintage frames for her creations. The ex voto is an ancient tradition and with Maria Grazia it has fused with new languages, forms of reflection, and contemporary artistic expression, allowing the creation of works inspired not only by the concept of devotion but exploring broader themes such as identity and rebirth: a symbol that becomes a means to express emotions and individual narratives.",it,,20x13 cm,field_65778f7066bd9,,,,,,,Recyclable materials,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2343,Ex Voto Handmade By Love Mareea,"Ex voto handmade in Italy by Love Mareea that uses discarded materials such as old bags, velvet garments, lace, jewelry, and vintage frames for her creations. The ex voto is an ancient tradition and with Maria Grazia it has fused with new languages, forms of reflection, and contemporary artistic expression, allowing the creation of works inspired not only by the concept of devotion but exploring broader themes such as identity and rebirth: a symbol that becomes a means to express emotions and individual narratives.",it,,14x15 cm,field_65778f7066bd9,,,,,,,Recyclable materials,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2344,Ex Voto Handmade By Love Mareea,"Ex voto handmade in Italy by Love Mareea that uses discarded materials such as old bags, velvet garments, lace, jewelry, and vintage frames for her creations. The ex voto is an ancient tradition and with Maria Grazia it has fused with new languages, forms of reflection, and contemporary artistic expression, allowing the creation of works inspired not only by the concept of devotion but exploring broader themes such as identity and rebirth: a symbol that becomes a means to express emotions and individual narratives.",it,,17.5x17.5 cm,field_65778f7066bd9,,,,,,,Recyclable materials,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2345,Ex Voto Handmade By Love Mareea,"Ex voto handmade in Italy by Love Mareea that uses discarded materials such as old bags, velvet garments, lace, jewelry, and vintage frames for her creations. The ex voto is an ancient tradition and with Maria Grazia it has fused with new languages, forms of reflection, and contemporary artistic expression, allowing the creation of works inspired not only by the concept of devotion but exploring broader themes such as identity and rebirth: a symbol that becomes a means to express emotions and individual narratives.",it,,15x19 cm,field_65778f7066bd9,,,,,,,Recyclable materials,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2346,Ex Voto Handmade By Love Mareea,"Ex voto handmade in Italy by Love Mareea that uses discarded materials such as old bags, velvet garments, lace, jewelry, and vintage frames for her creations. The ex voto is an ancient tradition and with Maria Grazia it has fused with new languages, forms of reflection, and contemporary artistic expression, allowing the creation of works inspired not only by the concept of devotion but exploring broader themes such as identity and rebirth: a symbol that becomes a means to express emotions and individual narratives.",it,,10x14 cm,field_65778f7066bd9,,,,,,,Recyclable materials,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2347,Ex Voto Handmade By Love Mareea,"Ex voto handmade in Italy by Love Mareea that uses discarded materials such as old bags, velvet garments, lace, jewelry, and vintage frames for her creations. The ex voto is an ancient tradition and with Maria Grazia it has fused with new languages, forms of reflection, and contemporary artistic expression, allowing the creation of works inspired not only by the concept of devotion but exploring broader themes such as identity and rebirth: a symbol that becomes a means to express emotions and individual narratives.",it,,16x13 cm,field_65778f7066bd9,,,,,,,Recyclable materials,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2348,Ex Voto Handmade By Love Mareea,"Ex voto handmade in Italy by Love Mareea that uses discarded materials such as old bags, velvet garments, lace, jewelry, and vintage frames for her creations. The ex voto is an ancient tradition and with Maria Grazia it has fused with new languages, forms of reflection, and contemporary artistic expression, allowing the creation of works inspired not only by the concept of devotion but exploring broader themes such as identity and rebirth: a symbol that becomes a means to express emotions and individual narratives.",it,,13x11 cm,field_65778f7066bd9,,,,,,,Recyclable materials,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,"Ueila Milano White T-Shirt with Embroidery ""Only Miuccia Can Judge Me""",White T-shirt in 100% organic cotton with red embroidery designed and made by Ueila Milano.,it,,,field_65778f7066bd9,,field_65778fe4a5e29,,,,field_65d8aae32342a,100% Organic Cotton,field_664b3a442440b,,,,,,,5653.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
2330,"Ueila Milano White T-Shirt with ""Stronzetta"" Embroidery",White T-shirt in 100% organic cotton with red embroidery designed and made by Ueila Milano.,it,,,field_65778f7066bd9,,field_65778fe4a5e29,,,,field_65d8aae32342a,100% Organic Cotton,field_664b3a442440b,,,,,,,5653.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
2331,"Ueila Milano White T Shirt with Embroidery ""Si, Ma Calmati""",White T-shirt in 100% organic cotton with red embroidery designed and made by Ueila Milano.,it,,,field_65778f7066bd9,,field_65778fe4a5e29,,,,field_65d8aae32342a,100% Organic Cotton,field_664b3a442440b,,,,,,,5653.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
2332,"Ueila Milano White T-Shirt with ""Milanese"" Embroidery",White T-shirt in 100% organic cotton with red embroidery designed and made by Ueila Milano.,it,,,field_65778f7066bd9,,field_65778fe4a5e29,,,,field_65d8aae32342a,100% Organic Cotton,field_664b3a442440b,,,,,,,5653.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
2333,"Ueila Milano White T-Shirt with Embroidery ""Piccola Cogliona""",White T-shirt in 100% organic cotton with red embroidery designed and made by Ueila Milano.,it,,,field_65778f7066bd9,,field_65778fe4a5e29,,,,field_65d8aae32342a,100% Organic Cotton,field_664b3a442440b,,,,,,,5653.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
2329-XS,"Ueila Milano White T-Shirt with Embroidery ""Only Miuccia Can Judge Me"" - XS",,it,,,,,,,,,,100% Organic Cotton,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329-S,"Ueila Milano White T-Shirt with Embroidery ""Only Miuccia Can Judge Me"" - S",,it,,,,,,,,,,100% Organic Cotton,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329-M,"Ueila Milano White T-Shirt with Embroidery ""Only Miuccia Can Judge Me"" - M",,it,,,,,,,,,,100% Organic Cotton,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329-L,"Ueila Milano White T-Shirt with Embroidery ""Only Miuccia Can Judge Me"" - L",,it,,,,,,,,,,100% Organic Cotton,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329-XL,"Ueila Milano White T Shirt with Embroidery ""Only Miuccia Can Judge Me"" - XL",,it,,,,,,,,,,100% Organic Cotton,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330-XS,"Ueila Milano White T-Shirt with Embroidery ""Stronzetta"" - XS",,it,,,,,,,,,,100% Organic Cotton,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330-S,"Ueila Milano White T-Shirt with Embroidery ""Stronzetta"" - S",,it,,,,,,,,,,100% Organic Cotton,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330-M,"Ueila Milano White T-Shirt with Embroidery ""Stronzetta"" - M",,it,,,,,,,,,,100% Organic Cotton,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330-L,"Ueila Milano White T-Shirt with Embroidery ""Stronzetta"" - L",,it,,,,,,,,,,100% Organic Cotton,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330-XL,"Ueila Milano White T-Shirt with ""Stronzetta"" Embroidery - XL",,it,,,,,,,,,,100% Organic Cotton,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2331-XS,"Ueila Milano White T-Shirt with Embroidery ""Yes, But Calm Down"" - XS",,it,,,,,,,,,,100% Organic Cotton,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2331-S,"Ueila Milano White T-Shirt with Embroidery ""Si, Ma Calmati"" - S",,it,,,,,,,,,,100% Organic Cotton,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2331-M,"Ueila Milano White T-Shirt with Embroidery ""Yes, But Calm Down"" - M",,it,,,,,,,,,,100% Organic Cotton,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2331-L,"Ueila Milano White T-Shirt with Embroidery ""Si, Ma Calmati"" - L",,it,,,,,,,,,,100% Organic Cotton,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2331-XL,"Ueila Milano White T-Shirt with Embroidery ""Si, Ma Calmati"" - XL",,it,,,,,,,,,,100% Organic Cotton,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
